scientific_name,common_name,source_db,source_url,taxon_id
Croton caracasanus,,GBIF,https://www.gbif.org/species/3058437,3058437
Croton dichrous,,GBIF,https://www.gbif.org/species/3059431,3059431
Croton doratophylloides,,GBIF,https://www.gbif.org/species/3058388,3058388
Croton erythroxyloides,,GBIF,https://www.gbif.org/species/3058725,3058725
Croton fragrans,,GBIF,https://www.gbif.org/species/3059998,3059998
Croton gracilipes,,GBIF,https://www.gbif.org/species/3059397,3059397
Croton icche,,GBIF,https://www.gbif.org/species/3057733,3057733
Croton laevifolius,,GBIF,https://www.gbif.org/species/3059333,3059333
Croton lindheimeri,Lindheimer's hogwort,GBIF,https://www.gbif.org/species/3058747,3058747
Croton pachypodus,,GBIF,https://www.gbif.org/species/3058335,3058335
Croton pungens,,GBIF,https://www.gbif.org/species/3060477,3060477
Croton rottlerifolius,,GBIF,https://www.gbif.org/species/3059834,3059834
Croton rupestris,,GBIF,https://www.gbif.org/species/3059130,3059130
Croton sampatik,,GBIF,https://www.gbif.org/species/3058287,3058287
Croton sclerocalyx,,GBIF,https://www.gbif.org/species/3060109,3060109
Croton spruceanus,,GBIF,https://www.gbif.org/species/3059072,3059072
Croton vulnerarius,,GBIF,https://www.gbif.org/species/3058536,3058536
Croton wigginsii,Wiggins' croton,GBIF,https://www.gbif.org/species/3058056,3058056
Croton yucatanensis,,GBIF,https://www.gbif.org/species/3060296,3060296
Crucianella gilanica,,GBIF,https://www.gbif.org/species/5336587,5336587
Cruckshanksia pumila,,GBIF,https://www.gbif.org/species/5339356,5339356
Crudia aromatica,,GBIF,https://www.gbif.org/species/10774934,10774934
Crudia gracilis,,GBIF,https://www.gbif.org/species/2974626,2974626
Crudia penduliflora,,GBIF,https://www.gbif.org/species/2974596,2974596
Crudia zenkeri,,GBIF,https://www.gbif.org/species/2974638,2974638
Crumenaria decumbens,,GBIF,https://www.gbif.org/species/3875417,3875417
Cryphaea patens,,GBIF,https://www.gbif.org/species/8766937,8766937
Cryptanthus dianae,,GBIF,https://www.gbif.org/species/5287754,5287754
Crypteronia griffithii,,GBIF,https://www.gbif.org/species/3646066,3646066
Cryptocarya liebertiana,,GBIF,https://www.gbif.org/species/4175837,4175837
Cryptocarya maclurei,,GBIF,https://www.gbif.org/species/4175620,4175620
Cryptocarya thouvenotii,,GBIF,https://www.gbif.org/species/4181227,4181227
Cryptocoryne nurii,,GBIF,https://www.gbif.org/species/2869262,2869262
Cryptocoryne parva,,GBIF,https://www.gbif.org/species/2869202,2869202
Cryptogramma sitchensis,Alaska parsley fern,GBIF,https://www.gbif.org/species/5275448,5275448
Cryptolepis obtusa,,GBIF,https://www.gbif.org/species/7756926,7756926
Cryptosepalum ambamense,,GBIF,https://www.gbif.org/species/3966770,3966770
Cryptosepalum mimosoides,,GBIF,https://www.gbif.org/species/2956487,2956487
Cryptothladia chinensis,,GBIF,https://www.gbif.org/species/3760987,3760987
Ctenidium capillifolium,,GBIF,https://www.gbif.org/species/5283773,5283773
Ctenitis sloanei,Florida lacefern,GBIF,https://www.gbif.org/species/2650909,2650909
Ctenodon histrix,,GBIF,https://www.gbif.org/species/10900936,10900936
